Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,24.0,25.3799991607666,18.565000534057617,20.56999969482422,20.56999969482422,485400
2023-08-15,19.799999237060547,21.5,19.39999961853028,21.5,21.5,137600
2023-08-16,20.5,20.5,17.8799991607666,19.440000534057617,19.440000534057617,250200
2023-08-17,19.0,19.76000022888184,18.76799964904785,19.290000915527344,19.290000915527344,103900
2023-08-18,18.600000381469727,20.34000015258789,18.600000381469727,20.06999969482422,20.06999969482422,378500
2023-08-21,20.59000015258789,21.0,19.959999084472656,20.190000534057617,20.190000534057617,32300
2023-08-22,20.229999542236328,20.38999938964844,19.920000076293945,20.100000381469727,20.100000381469727,171900
2023-08-23,20.1200008392334,20.690000534057617,19.540000915527344,20.5,20.5,60500
2023-08-24,20.39999961853028,20.39999961853028,19.51000022888184,20.14999961853028,20.14999961853028,131200
2023-08-25,20.0,20.1299991607666,19.530000686645508,20.0,20.0,136300
2023-08-28,20.21999931335449,20.709999084472656,19.450000762939453,20.39999961853028,20.39999961853028,88300
2023-08-29,19.5,20.15999984741211,19.5,19.8700008392334,19.8700008392334,44200
2023-08-30,19.51000022888184,19.75,18.40999984741211,18.709999084472656,18.709999084472656,255900
2023-08-31,19.0,19.0,17.6200008392334,17.809999465942383,17.809999465942383,217500
2023-09-01,18.1299991607666,18.739999771118164,17.670000076293945,18.65999984741211,18.65999984741211,156300
2023-09-05,18.31999969482422,18.89999961853028,17.100000381469727,17.389999389648438,17.389999389648438,114900
2023-09-06,17.440000534057617,17.979999542236328,16.899999618530273,17.170000076293945,17.170000076293945,62300
2023-09-07,16.969999313354492,17.139999389648438,16.5,17.079999923706055,17.079999923706055,147400
2023-09-08,16.799999237060547,18.200000762939453,16.799999237060547,17.860000610351562,17.860000610351562,135800
2023-09-11,17.690000534057617,18.479999542236328,17.690000534057617,18.3700008392334,18.3700008392334,115400
2023-09-12,18.200000762939453,18.21999931335449,17.790000915527344,18.0,18.0,76600
2023-09-13,18.020000457763672,18.1200008392334,17.895000457763672,17.959999084472656,17.959999084472656,58900
2023-09-14,18.229999542236328,18.549999237060547,17.899999618530273,18.450000762939453,18.450000762939453,82600
2023-09-15,18.030000686645508,19.309999465942383,17.15999984741211,19.020000457763672,19.020000457763672,97300
2023-09-18,18.600000381469727,19.15999984741211,18.315000534057617,19.01000022888184,19.01000022888184,51100
2023-09-19,18.600000381469727,19.18000030517578,18.600000381469727,18.799999237060547,18.799999237060547,44300
2023-09-20,18.700000762939453,18.913000106811523,18.434999465942383,18.479999542236328,18.479999542236328,125500
2023-09-21,18.3700008392334,18.920000076293945,17.950000762939453,18.450000762939453,18.450000762939453,70800
2023-09-22,18.559999465942383,19.01000022888184,18.354999542236328,18.84000015258789,18.84000015258789,84200
